あいさつ,aisatu
アイス,aisu
あいつ,aitu
あくせく,akuseku
アクセサリー,akusesari-
あどけない,adokenai
あの,ano
アルコール,aruko-ru
あれ,are
あれほど,arehodo
いまだに,imadani
いらいら,iraira
インスタント,insutanto
インターネット,inta-netto
うろたえる,urotaeru
エアコン,eakon
エスカレーター,esukare-ta-
エンジン,enzin
おい,oi
おどける,odokeru
おはらい,oharai
おめおめと,omeometo
おやつ,oyatu
オレンジ,orenzi
カーテン,ka-ten
カード,ka-do
かえる,kaeru
かぎ,kagi
かしげる,kasigeru
かしこまる,kasicomaru
かすか,kasuka
ガソリン,gasorin
かつかつ,katukatu
かつら,katura
かなえる,kanaeru
かび,kabi
かぶせる,kabuseru
かもしれない,camosirenai
カラオケ,karaoke
カレー,kare-
かれこれ,karekore
カレンダー,karenda-
かろうじて,karoujite
がん,gan
ギター,gita-
くどくど,kudokudo
くらます,kuramasu
けいれん,keiren
けしからん,kesikaran
ケラケラ,kerakera
げんこつ,genkotu
けんそん,kenson
こうして,cousite
コート,ko-to
コーラ,ko-ra
こせこせ,kosekose
こそく,kosoku
コツコツ,kotukotu
こてこて,kotekote
ことごとく,kotogotoku
これ,kore
これまで,koremade
コンタクト,contakuto
サーカス,sa-kasu
サイン,sain
さえる,saeru
さくさく,sakusaku
さて,sate
さほど,sahodo
さんご,sango
さんま,sanma
しおり,siori
しかし,sikasi
じかに,jicani
シチュー,sityu-
しとめる,sitomeru
じゃがいも,jagaimo
しょうが,syouga
すいか,suika
すかすか,sukasuka
スコア,sukoa
スタジオ,sutajio
ストレス,sutoresu
ずるい,zurui
ぜいたく,zeitaku
セーター,se-ta-
セール,se-ru
せんさく,sensaku
ぜんそく,zensoku
そうそうたる,sousoutaru
ぞくぞく,zokuzoku
ソファー,sofa-
タイプ,taipu
タイヤ,taiya
タイル,tairu
タオル,taoru
タクシー,takusi-
たこ,tako
たじたじ,tajitaji
たすき,tasuki
たちまち,tatimati
ためらう,tamerau
だらける,darakeru
だるい,darui
たんす,tansu
ちまちま,timatima
ちょうだい,tyoudai
ちょろちょろ,tyorotyoro
ツアー,tua-
ついて,tuite
つかつか,tukatuka
つわり,tuwari
つんつん,tuntun
テスト,tesuto
てんてこまい,tentekomai
テント,tento
ドア,doa
トイレ,toire
どうして,dousite
どうぞ,douzo
とうとう,toutou
トースト,to-suto
とかげ,tokage
どける,dokeru
トマト,tomato
ともあれ,tomoare
ともかく,tomocaku
とやかく,toyakaku
ドライヤー,doraiya-
トラブル,toraburu
トレーナー,tore-na-
とんでもない,tondemonai
とんとん,tonton
なえる,naeru
なす,nasu
ねぎ,negi
ネクタイ,nekutai
ねちねち,netineti
のり,nori
パーセント,pa-sento
バインダー,bainda-
はえ,hae
はしたない,hasitanai
はしょる,hasyoru
バスケット,basuketto
バスタオル,basutaoru
バスト,basuto
はたく,hataku
はと,hato
バリバリ,baribari
はんこ,hanko
パンチ,panti
バンド,bando
ハンバーガー,hanba-ga-
ピアス,piasu
ヒアリング,hiaringu
ひたひた,hitahita
ひとまず,hitomazu
ひやひや,hiyahiya
ファイト,faito
フォーク,fo-cu
ふらふら,hurahura
ぶらぶら,burabura
へとへと,hetoheto
